geoid10,name,population_2010
245100201001001,"Block 1001, Block Group 1, Census Tract 201, Baltimore city, Maryland",23
245100201001002,"Block 1002, Block Group 1, Census Tract 201, Baltimore city, Maryland",111
245100201001003,"Block 1003, Block Group 1, Census Tract 201, Baltimore city, Maryland",0
245100201001004,"Block 1004, Block Group 1, Census Tract 201, Baltimore city, Maryland",114
245100201001005,"Block 1005, Block Group 1, Census Tract 201, Baltimore city, Maryland",94
245100201001006,"Block 1006, Block Group 1, Census Tract 201, Baltimore city, Maryland",97
245100201001007,"Block 1007, Block Group 1, Census Tract 201, Baltimore city, Maryland",100
245100201001008,"Block 1008, Block Group 1, Census Tract 201, Baltimore city, Maryland",101
245100201002000,"Block 2000, Block Group 2, Census Tract 201, Baltimore city, Maryland",162
245100201002001,"Block 2001, Block Group 2, Census Tract 201, Baltimore city, Maryland",144
245100201002002,"Block 2002, Block Group 2, Census Tract 201, Baltimore city, Maryland",116
245100201002003,"Block 2003, Block Group 2, Census Tract 201, Baltimore city, Maryland",88
245100201002004,"Block 2004, Block Group 2, Census Tract 201, Baltimore city, Maryland",89
245100201002005,"Block 2005, Block Group 2, Census Tract 201, Baltimore city, Maryland",101
245100201002006,"Block 2006, Block Group 2, Census Tract 201, Baltimore city, Maryland",47
245100201002007,"Block 2007, Block Group 2, Census Tract 201, Baltimore city, Maryland",96
245100201002008,"Block 2008, Block Group 2, Census Tract 201, Baltimore city, Maryland",56
245100201002009,"Block 2009, Block Group 2, Census Tract 201, Baltimore city, Maryland",63
245100201002010,"Block 2010, Block Group 2, Census Tract 201, Baltimore city, Maryland",32
245100201002011,"Block 2011, Block Group 2, Census Tract 201, Baltimore city, Maryland",71
245100201002012,"Block 2012, Block Group 2, Census Tract 201, Baltimore city, Maryland",41
245100201002013,"Block 2013, Block Group 2, Census Tract 201, Baltimore city, Maryland",44
245100201002014,"Block 2014, Block Group 2, Census Tract 201, Baltimore city, Maryland",8
245100202001000,"Block 1000, Block Group 1, Census Tract 202, Baltimore city, Maryland",86
245100202001001,"Block 1001, Block Group 1, Census Tract 202, Baltimore city, Maryland",106
245100202001002,"Block 1002, Block Group 1, Census Tract 202, Baltimore city, Maryland",90
